Post Total Reach,Post Total Impressions,Post Organic Impressions,Engaged Users,Matched Audience Targeting Consumers on Post,Matched Audience Targeting Consumptions on Post,Negative Feedback from Users,Negative Feedback,Post Impressions by people who have liked your Page,Post reach by people who like your Page,People who have liked your Page and engaged with your post,Organic views to 95%,Organic views to 95%.1,Organic Video Views,Organic Video Views.1,Average time video viewed,Video length
4061,4767,4767,164,55,68,1,1,2443,2011,127,0,0,0,0,0,0
858,1014,1014,20,14,19,0,0,786,632,18,0,0,0,0,0,0
925,1089,1089,20,3,3,1,1,880,724,19,0,0,0,0,0,0
809,932,932,14,11,12,0,0,745,628,14,0,0,0,0,0,0
2158,2445,2445,75,17,18,0,0,1322,1138,59,0,0,0,0,0,0
1324,1614,1614,52,47,64,0,0,1304,1043,47,0,0,0,0,0,0
762,901,901,7,4,4,0,0,677,550,7,0,0,0,0,0,0
634,726,726,4,3,3,0,0,539,456,4,0,0,0,0,0,0
654,758,758,10,7,8,0,0,590,492,10,0,0,53,54,0,15145
488,563,563,8,5,6,0,0,400,340,8,0,0,16,16,0,115008
969,1148,1148,26,13,17,0,0,888,719,24,0,0,0,0,0,0
